Status,Subject,Course,Section,CRN,Title,Cred,Meeting Days,Times,Meeting Type,Campus,Location,Instructor,Date,Weeks,Seats,Enrolled,Available,Wait List,Final Exam,Fees
OPEN,CS,2124,0AA,36700,Data Structures,  ,M,5:30-6:20pm,"Online only, at set time",Internet, ,"Sherette, Jonathan L.",01/18-05/11,17,30,28,2,N/A,To be determined by instructor ,
CLOSED,CS,2124,0AB,36707,Data Structures,  ,W,5:30-6:20pm,"Online only, at set time",Internet, ,"Sherette, Jonathan L.",01/18-05/11,17,30,30,0,N/A,To be determined by instructor ,
OPEN,CS,2124,0B2,36715,Data Structures,4,MW,6:00-7:15pm,"Online only, at set time",Internet, ,"Sherette, Jonathan L.",01/18-05/11,17,60,46,14,N/A,Mon  May 09  05:00 pm - 06:50 pm  ,$148 
OPEN,CS,2124,0BA,36726,Data Structures,  ,M,7:30-8:20pm,"Online only, at set time",Internet, ,"Sherette, Jonathan L.",01/18-05/11,17,30,29,1,N/A,To be determined by instructor ,
OPEN,CS,2124,0BB,36731,Data Structures,  ,W,7:30-8:20pm,"Online only, at set time",Internet, ,"Sherette, Jonathan L.",01/18-05/11,17,30,17,13,N/A,To be determined by instructor ,
OPEN,CS,2124,0C3,36732,Data Structures,4,TR,8:30-9:45am,Traditional in-person,Main Camp,MH 3.04.12,"Heaps, John S.",01/18-05/11,17,60,23,37,N/A,Thu  May 05  09:00 am - 10:50 am  ,$148 
OPEN,CS,2124,0CA,36734,Data Structures,  ,T,10:00-10:50am,Traditional in-person,Main Camp,NPB 1.226,"Heaps, John S.",01/18-05/11,17,30,18,12,N/A,To be determined by instructor ,
OPEN,CS,2124,0CB,36736,Data Structures,  ,R,10:00-10:50am,Traditional in-person,Main Camp,NPB 1.226,"Heaps, John S.",01/18-05/11,17,30,5,25,N/A,To be determined by instructor ,
OPEN,CS,2124,0D4,36737,Data Structures,4,TR,10:00-11:15am,Traditional in-person,Main Camp,MH 3.04.22,"Heaps, John S.",01/18-05/11,17,60,59,1,N/A,Tue  May 10  11:00 am - 12:50 pm  ,$148 
OPEN,CS,2124,0DA,36738,Data Structures,  ,T,11:30-12:20pm,Traditional in-person,Main Camp,NPB 1.226,"Heaps, John S.",01/18-05/11,17,30,29,1,N/A,To be determined by instructor ,
CLOSED,CS,2124,0DB,36739,Data Structures,  ,R,11:30-12:20pm,Traditional in-person,Main Camp,NPB 1.226,"Heaps, John S.",01/18-05/11,17,30,30,0,N/A,To be determined by instructor ,
OPEN,CS,2233,1,23113,Discrete Math Structures,3,MWF,2:00-2:50pm,Traditional in-person,Main Camp,BB 3.02.28,"Pritom, Mir Mehedi A.",01/18-05/11,17,60,44,16,N/A,Wed  May 11  01:00 pm - 02:50 pm  ,$111 
OPEN,CS,2233,2,28695,Discrete Math Structures,3,MWF,12:00-12:50pm,Traditional in-person,Main Camp,MH 3.04.12,"Yang, Zhongxiu",01/18-05/11,17,60,58,2,N/A,Fri  May 06  11:00 am - 12:50 pm  ,$111 
OPEN,CS,2233,3,32004,Discrete Math Structures,3,MWF,9:00-9:50am,"Online only, at set time",Internet, ,"Arafat, Imtiaz Muhammad",01/18-05/11,17,66,64,2,N/A,Fri  May 06  09:00 am - 10:50 am  ,$111 
OPEN,CS,2233,4,35690,Discrete Math Structures,3,MWF,1:00-1:50pm,"Online only, at set time",Internet, ,"Arafat, Imtiaz Muhammad",01/18-05/11,17,66,63,3,N/A,Mon  May 09  01:00 pm - 02:50 pm  ,$111 
OPEN,CS,2233,5,38838,Discrete Math Structures,3,MWF,10:00-10:50am,Traditional in-person,Main Camp,BB 3.03.22,"Sherette, Jonathan L.",01/18-05/11,17,64,61,3,N/A,Mon  May 09  11:00 am - 12:50 pm  ,$111 
CLOSED,CS,3113,1,34870,Principles of Cyber Security,3,,,"Online only, no set time",Internet, ,"Anderson, Benjamin R.",01/18-05/11,17,110,110,0,N/A,To be determined by instructor ,$270 
OPEN,CS,3333,1,23116,Math Found of CS,3,MWF,1:00-1:50pm,Traditional in-person,Main Camp,MH 3.04.12,"Lu, Qi",01/18-05/11,17,60,37,23,N/A,Mon  May 09  01:00 pm - 02:50 pm  ,$195 
OPEN,CS,3333,2,30388,Math Found of CS,3,MWF,11:00-11:50am,"Online only, at set time",Internet, ,"Lu, Qi",01/18-05/11,17,56,53,3,N/A,Wed  May 11  11:00 am - 12:50 pm  ,$195 
OPEN,CS,3333,3,35691,Math Found of CS,3,MWF,9:00-9:50am,"Online only, at set time",Internet, ,"Lu, Qi",01/18-05/11,17,56,36,20,N/A,Fri  May 06  09:00 am - 10:50 am  ,$195 
OPEN,CS,3333,4,38841,Math Found of CS,3,MWF,2:00-2:50pm,Traditional in-person,Main Camp,MH 3.04.12,"Long, Byron L.",01/18-05/11,17,56,20,36,N/A,Wed  May 11  01:00 pm - 02:50 pm  ,$195 
OPEN,CS,3343,1,20342,Analysis Of Algorithms,3,MWF,12:00-12:50pm,Traditional in-person,Main Camp,MH 3.04.22,"Arafat, Imtiaz Muhammad",01/18-05/11,17,60,30,30,N/A,Fri  May 06  11:00 am - 12:50 pm  ,$195 
OPEN,CS,3343,2,30774,Analysis Of Algorithms,3,TR,11:30-12:45pm,Traditional in-person,Main Camp,MH 3.04.22,"Dutta, Anandi K.",01/18-05/11,17,60,48,12,N/A,Thu  May 05  11:00 am - 12:50 pm  ,$195 
CLOSED,CS,3343,3,35692,Analysis Of Algorithms,3,TR,10:00-11:15am,"Online only, at set time",Internet, ,"Gibson, Matthew R.",01/18-05/11,17,80,80,0,N/A,Tue  May 10  11:00 am - 12:50 pm  ,$195 
CANCELED,CS,3343,4,38842,Analysis Of Algorithms,3,TBA,TBA,,Main Camp, ,Staff,01/18-05/11,17,60,0,60,N/A,To be determined by instructor ,$195 
CLOSED,CS,3424,0A1,36741,Systems Programming,4,MWF,10:00-10:50am,"Online only, at set time",Internet, ,"Silvestro, Sam A.",01/18-05/11,17,60,60,0,N/A,Mon  May 09  11:00 am - 12:50 pm  ,$260 
CLOSED,CS,3424,0AA,36743,Systems Programming,  ,W,11:00-11:50am,"Online only, at set time",Internet, ,"Silvestro, Sam A.",01/18-05/11,17,30,30,0,N/A,To be determined by instructor ,
CLOSED,CS,3424,0AB,36745,Systems Programming,  ,F,11:00-11:50am,"Online only, at set time",Internet, ,"Silvestro, Sam A.",01/18-05/11,17,30,30,0,N/A,To be determined by instructor ,
OPEN,CS,3424,0B2,36748,Systems Programming,4,MWF,2:00-2:50pm,Traditional in-person,Main Camp,MH 2.02.04,"Silvestro, Sam A.",01/18-05/11,17,60,44,16,N/A,Wed  May 11  01:00 pm - 02:50 pm  ,$260 
OPEN,CS,3424,0BA,36750,Systems Programming,  ,W,3:00-3:50pm,Traditional in-person,Main Camp,NPB 1.226,"Silvestro, Sam A.",01/18-05/11,17,30,29,1,N/A,To be determined by instructor ,
OPEN,CS,3424,0BB,36754,Systems Programming,  ,F,3:00-3:50pm,Traditional in-person,Main Camp,NPB 1.226,"Silvestro, Sam A.",01/18-05/11,17,30,15,15,N/A,To be determined by instructor ,
OPEN,CS,3424,0C3,36769,Systems Programming,4,MWF,9:00-9:50am,"Online only, at set time",Internet, ,"Silvestro, Sam A.",01/18-05/11,17,60,58,2,N/A,Fri  May 06  09:00 am - 10:50 am  ,$260 
CLOSED,CS,3424,0CA,36771,Systems Programming,  ,W,10:00-10:50am,"Online only, at set time",Internet, ,"Silvestro, Sam A.",01/18-05/11,17,30,30,0,N/A,To be determined by instructor ,
OPEN,CS,3424,0CB,36772,Systems Programming,  ,F,10:00-10:50am,"Online only, at set time",Internet, ,"Silvestro, Sam A.",01/18-05/11,17,30,28,2,N/A,To be determined by instructor ,
OPEN,CS,3424,0D4,36773,Systems Programming,4,TR,4:00-5:15pm,Traditional in-person,Main Camp,MH 3.04.08,"O'Hara, Steven A.",01/18-05/11,17,60,47,13,N/A,Tue  May 10  03:00 pm - 04:50 pm  ,$260 
OPEN,CS,3424,0DA,36775,Systems Programming,  ,T,5:30-6:20pm,Traditional in-person,Main Camp,NPB 1.226,"O'Hara, Steven A.",01/18-05/11,17,30,29,1,N/A,To be determined by instructor ,
OPEN,CS,3424,0DB,36776,Systems Programming,  ,R,5:30-6:20pm,Traditional in-person,Main Camp,NPB 1.226,"O'Hara, Steven A.",01/18-05/11,17,30,18,12,N/A,To be determined by instructor ,
OPEN,CS,3443,1,27294,Application Programming,3,MWF,2:00-2:50pm,Traditional in-person,Main Camp,NPB 1.238,"Rathore, Heena",01/18-05/11,17,60,33,27,N/A,Wed  May 11  01:00 pm - 02:50 pm  ,$195 
OPEN,CS,3443,2,27295,Application Programming,3,MWF,11:00-11:50am,"Online only, at set time",Internet, ,"Rathore, Heena",01/18-05/11,17,60,56,4,N/A,Wed  May 11  11:00 am - 12:50 pm  ,$195 
OPEN,CS,3443,3,34278,Application Programming,3,MWF,12:00-12:50pm,"Online only, at set time",Internet, ,"Rathore, Heena",01/18-05/11,17,60,58,2,N/A,Fri  May 06  11:00 am - 12:50 pm  ,$195 
OPEN,CS,3443,4,38844,Application Programming,3,MW,4:00-5:15pm,Traditional in-person,Main Camp,NPB 1.238,"Long, Byron L.",01/18-05/11,17,60,38,22,N/A,Mon  May 09  03:00 pm - 04:50 pm  ,$195 
OPEN,CS,3723,1,20514,Programming Languages,3,MWF,11:00-11:50am,Traditional in-person,Main Camp,NPB 1.202,"Arafat, Imtiaz Muhammad",01/18-05/11,17,60,32,28,N/A,Wed  May 11  11:00 am - 12:50 pm  ,$195 
CLOSED,CS,3723,2,32521,Programming Languages,3,TR,2:30-3:45pm,Traditional in-person,Main Camp,NPB 1.238,"O'Hara, Steven A.",01/18-05/11,17,60,60,0,N/A,Thu  May 05  01:00 pm - 02:50 pm  ,$195 
OPEN,CS,3723,3,36489,Programming Languages,3,TR,8:30-9:45am,"Online only, at set time",Internet, ,"O'Hara, Steven A.",01/18-05/11,17,76,75,1,N/A,Thu  May 05  09:00 am - 10:50 am  ,$195 
OPEN,CS,3733,1,20100,Operating Systems,3,TR,10:00-11:15am,"Online only, at set time",Internet, ,"Korkmaz, Turgay  .",01/18-05/11,17,70,53,17,N/A,Tue  May 10  11:00 am - 12:50 pm  ,$195 
CLOSED,CS,3733,2,31336,Operating Systems,3,TR,11:30-12:45pm,Traditional in-person,Main Camp,MH 3.04.10,"Silvestro, Sam A.",01/18-05/11,17,60,60,0,N/A,Thu  May 05  11:00 am - 12:50 pm  ,$195 
OPEN,CS,3733,3,38846,Operating Systems,3,TR,8:30-9:45am,Traditional in-person,Main Camp,MH 3.04.22,"Silvestro, Sam A.",01/18-05/11,17,60,29,31,N/A,Thu  May 05  09:00 am - 10:50 am  ,$195 
OPEN,CS,3743,1,32522,Database Systems,3,TR,2:30-3:45pm,Traditional in-person,Main Camp,SEB 3.146,"Gomez Morales, Mauricio Alejandro",01/18-05/11,17,60,35,25,N/A,Thu  May 05  01:00 pm - 02:50 pm  ,$195 
OPEN,CS,3743,2,36078,Database Systems,3,TR,1:00-2:15pm,Traditional in-person,Main Camp,SEB 3.146,"Gomez Morales, Mauricio Alejandro",01/18-05/11,17,60,58,2,N/A,Tue  May 10  01:00 pm - 02:50 pm  ,$195 
OPEN,CS,3743,3,38847,Database Systems,3,MW,4:00-5:15pm,"Online only, at set time",Internet, ,"Gomez Morales, Mauricio Alejandro",01/18-05/11,17,76,74,2,N/A,Mon  May 09  03:00 pm - 04:50 pm  ,$195 
OPEN,CS,3753,1,34506,Data Science,3,TR,11:30-12:45pm,Traditional in-person,Main Camp,BB 3.04.08,"Ruan, Jianhua",01/18-05/11,17,71,70,1,N/A,Thu  May 05  11:00 am - 12:50 pm  ,$195 
CLOSED,CS,3773,1,20101,Software Engineering,3,MWF,1:00-1:50pm,Traditional in-person,Main Camp,MH 2.01.36,"Valadez, Juan M.",01/18-05/11,17,60,60,0,N/A,Mon  May 09  01:00 pm - 02:50 pm  ,$195 
OPEN,CS,3773,2,32026,Software Engineering,3,TR,1:00-2:15pm,"Online only, at set time",Internet, ,"Valadez, Juan M.",01/18-05/11,17,86,85,1,N/A,Tue  May 10  01:00 pm - 02:50 pm  ,$195 
OPEN,CS,3793,1,34280,Artificial Intelligence,3,TR,2:30-3:45pm,Traditional in-person,Main Camp,BB 2.01.18,"Desai, Kevin",01/18-05/11,17,69,66,3,N/A,Thu  May 05  01:00 pm - 02:50 pm  ,$195 
OPEN,CS,3844,0A1,36777,Computer Organization,4,TR,8:30-9:45am,"Online only, at set time",Internet, ,"Dutta, Anandi K.",01/18-05/11,17,70,68,2,N/A,Thu  May 05  09:00 am - 10:50 am  ,$260 
OPEN,CS,3844,0AA,36779,Computer Organization,  ,T,10:00-10:50am,"Online only, at set time",Internet, ,"Dutta, Anandi K.",01/18-05/11,17,35,34,1,N/A,To be determined by instructor ,
OPEN,CS,3844,0AB,36780,Computer Organization,  ,R,10:00-10:50am,"Online only, at set time",Internet, ,"Dutta, Anandi K.",01/18-05/11,17,35,34,1,N/A,To be determined by instructor ,
OPEN,CS,3844,0B2,36783,Computer Organization,4,TR,6:00-7:15pm,Traditional in-person,Main Camp,MH 3.04.10,"Dutta, Anandi K.",01/18-05/11,17,60,29,31,N/A,Tue  May 10  05:00 pm - 06:50 pm  ,$260 
OPEN,CS,3844,0BA,36784,Computer Organization,  ,T,7:30-8:20pm,Traditional in-person,Main Camp,NPB 1.226,"Dutta, Anandi K.",01/18-05/11,17,30,21,9,N/A,To be determined by instructor ,
OPEN,CS,3844,0BB,36785,Computer Organization,  ,R,7:30-8:20pm,Traditional in-person,Main Camp,NPB 1.226,"Dutta, Anandi K.",01/18-05/11,17,30,8,22,N/A,To be determined by instructor ,
CLOSED,CS,3844,0C3,36787,Computer Organization,4,TR,1:00-2:15pm,Traditional in-person,Main Camp,BB 3.04.06,"Dutta, Anandi K.",01/18-05/11,17,70,70,0,N/A,Tue  May 10  01:00 pm - 02:50 pm  ,$260 
CLOSED,CS,3844,0CA,36789,Computer Organization,  ,T,2:30-3:20pm,Traditional in-person,Main Camp,NPB 1.226,"Dutta, Anandi K.",01/18-05/11,17,35,35,0,N/A,To be determined by instructor ,
CLOSED,CS,3844,0CB,36791,Computer Organization,  ,R,2:30-3:20pm,Traditional in-person,Main Camp,NPB 1.226,"Dutta, Anandi K.",01/18-05/11,17,35,35,0,N/A,To be determined by instructor ,
OPEN,CS,3853,1,23121,Computer Architecture,3,TR,6:00-7:15pm,"Online only, at set time",Internet, ,"Wang, Wei",01/18-05/11,17,70,68,2,N/A,Tue  May 10  05:00 pm - 06:50 pm  ,$195 
OPEN,CS,3853,2,32017,Computer Architecture,3,MW,6:00-7:15pm,Traditional in-person,Main Camp,NPB 1.226,"Ortiz, John A.",01/18-05/11,17,60,19,41,N/A,Mon  May 09  05:00 pm - 06:50 pm  ,$195 
OPEN,CS,3853,3,38848,Computer Architecture,3,TR,4:00-5:15pm,Traditional in-person,Main Camp,MH 3.04.10,"Wang, Wei",01/18-05/11,17,60,59,1,N/A,Tue  May 10  03:00 pm - 04:50 pm  ,$195 
OPEN,CS,3873,1,28704,Computer Networks,3,MWF,11:00-11:50am,"Online only, at set time",Internet, ,"Murphy, Richard L.",01/18-05/11,17,76,66,10,N/A,Wed  May 11  11:00 am - 12:50 pm  ,$195 
OPEN,CS,4243,1,37590,Large-Scale Data Management,3,TR,6:00-7:15pm,Traditional in-person,Main Camp,FLN 2.03.12,"Arora, Ritu",01/18-05/11,17,39,29,10,N/A,Tue  May 10  05:00 pm - 06:50 pm  ,$195 
OPEN,CS,4263,1,36495,Deep Learning,3,TR,1:00-2:15pm,Traditional in-person,Main Camp,MH 2.01.32,"Fernandez, Amanda S.",01/18-05/11,17,40,21,19,N/A,Tue  May 10  01:00 pm - 02:50 pm  ,$195 
CANCELED,CS,4313,1,36498,Automata Comput & Formal Lang,3,,,,Internet, ,Staff,01/18-05/11,17,0,0,0,N/A,To be determined by instructor ,$195 
OPEN,CS,4353,1,22826,Unix and Network Security,3,MWF,1:00-1:50pm,Traditional in-person,Main Camp,BB 3.03.20,"Harrison, Keith B.",01/18-05/11,17,40,19,21,N/A,Mon  May 09  01:00 pm - 02:50 pm  ,$195 
OPEN,CS,4363,1,32528,Cryptography,3,,,"Online only, no set time",Internet, ,"Sandhu, Ravi",01/18-05/11,17,70,62,5,N/A,To be determined by instructor ,$195 
OPEN,CS,4383,1,36506,Computer Graphics,3,MW,7:30-8:45pm,Traditional in-person,Main Camp,FLN 2.03.12,"Jointer, Stanley",01/18-05/11,17,50,27,23,N/A,Wed  May 11  07:00 pm - 08:50 pm  ,$195 
CLOSED,CS,4393,1,31346,User Interfaces,3,TR,2:30-3:45pm,"Online only, at set time",Internet, ,"Quarles, John P.",01/18-05/11,17,62,62,0,N/A,Thu  May 05  01:00 pm - 02:50 pm  ,$195 
CLOSED,CS,4413,1,38849,Web Technologies,3,MWF,10:00-10:50am,Traditional in-person,Main Camp,NPB 1.202,"Valadez, Juan M.",01/18-05/11,17,75,75,0,N/A,Mon  May 09  11:00 am - 12:50 pm  ,$195 
OPEN,CS,4423,1,35701,Game Development,3,MW,6:00-7:15pm,"Online only, at set time",Internet, ,"Jointer, Stanley",01/18-05/11,17,99,81,18,N/A,Mon  May 09  05:00 pm - 06:50 pm  ,$195 
CANCELED,CS,4483,1,36508,Cyber Security Found&Practice,3,,,,Internet, ,Staff,01/18-05/11,17,40,0,40,N/A,To be determined by instructor ,$195 
CLOSED,CS,4593,1,36006,AT: Fundamentals of Systems,3,TR,6:00-7:15pm,Traditional in-person,Main Camp, ,"Zhu, Dakai",01/18-05/11,17,20,0,17,N/A,Tue  May 10  05:00 pm - 06:50 pm  ,$195 
CLOSED,CS,4593,2,36007,AT: Fundamentals of Softwares,3,TR,7:30-8:45pm,Traditional in-person,Main Camp, ,"Sherette, Jonathan L.",01/18-05/11,17,20,0,19,N/A,Thu  May 05  07:00 pm - 08:50 pm  ,$195 
OPEN,CS,4613,1,36510,Senior Design I,3,TR,2:30-3:45pm,Traditional in-person,Main Camp,BB 2.01.10,"Heaps, John S.",01/18-05/11,17,30,6,24,N/A,Thu  May 05  01:00 pm - 02:50 pm  ,$195 
OPEN,CS,4623,1,36511,Senior Design II,3,TR,2:30-3:45pm,Traditional in-person,Main Camp,BB 2.01.10,"Heaps, John S.",01/18-05/11,17,30,1,29,N/A,Thu  May 05  01:00 pm - 02:50 pm  ,$195 
CLOSED,CS,4643,1,35705,Cellular and Mobile Tech,3,TR,6:00-7:15pm,"Online only, at set time",Internet, ,"Ku, Bernard S.",01/18-05/11,17,70,70,0,N/A,Tue  May 10  05:00 pm - 06:50 pm  ,$195 
OPEN,CS,4653,1,36522,Softwr and Malwr Reverse Engin,3,MW,7:30-8:45pm,Traditional in-person,Main Camp,NPB 1.226,"Ortiz, John A.",01/18-05/11,17,50,32,18,N/A,Wed  May 11  07:00 pm - 08:50 pm  ,$195 
OPEN,CS,4673,1,32531,Cyber Operations,3,,,"Online only, no set time",Internet, ,"Rutherford, James R.",01/18-05/11,17,76,74,2,N/A,To be determined by instructor ,$225 
CLOSED,CS,4683,1,32532,Secure Software Dev & Analysis,3,MWF,12:00-12:50pm,Traditional in-person,Main Camp,BB 3.04.06,"Slavin, Rocky L.",01/18-05/11,17,60,65,-5,N/A,Fri  May 06  11:00 am - 12:50 pm  ,$195 
OPEN,CS,4683,2,39789,Secure Software Dev & Analysis,3,MWF,12:00-12:50pm,Traditional in-person,Main Camp,BB 3.04.08,"Heaps, John S.",01/18-05/11,17,71,17,54,N/A,Fri  May 06  11:00 am - 12:50 pm  ,$195 
CANCELED,CS,4713,1,36523,Compiler Construction,3,,,,Internet, ,Staff,01/18-05/11,17,60,0,60,N/A,To be determined by instructor ,$195 
OPEN,CS,4783,1,33759,Advanced Software Engineering,3,MWF,2:00-2:50pm,Traditional in-person,Main Camp,BB 3.01.12,"Valadez, Juan M.",01/18-05/11,17,66,59,7,N/A,Wed  May 11  01:00 pm - 02:50 pm  ,$195 
CANCELED,CS,4833,1,38906,Embedded Systems,3,TBA,TBA,,Main Camp, ,Staff,01/18-05/11,17,30,0,30,N/A,To be determined by instructor ,$195 
OPEN,CS,4843,1,35706,Cloud Computing,3,TR,7:30-8:45pm,Traditional in-person,Main Camp,MH 3.04.08,"Najafirad, Peyman",01/18-05/11,17,60,43,17,N/A,Thu  May 05  07:00 pm - 08:50 pm  ,$195 
OPEN,CS,4853,1,35707,Advanced Systems Programming,3,MW,7:30-8:45pm,Traditional in-person,Main Camp,FLN 2.03.08,"Silvestro, Sam A.",01/18-05/11,17,40,18,22,N/A,Wed  May 11  07:00 pm - 08:50 pm  ,$195 
OPEN,CS,4911,1,33886,Independent Study,1,,,"Online only, no set time",Internet, ,Staff,01/18-05/11,17,60,0,60,N/A,To be determined by instructor ,$65 
OPEN,CS,4911,2,34507,Independent Study,1,,,"Online only, no set time",Internet, ,Staff,01/18-05/11,17,60,0,60,N/A,To be determined by instructor ,$65 
OPEN,CS,4911,3,34508,Independent Study,1,,,"Online only, no set time",Internet, ,Staff,01/18-05/11,17,60,0,60,N/A,To be determined by instructor ,$65 
OPEN,CS,4913,1,21017,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,"Desai, Kevin",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$195 
OPEN,CS,4913,2,36449,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,"Najafirad, Peyman",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$195 
